India_PINT.dat                                     AzFile = India_PINTorientaitionfile.az
LAT:  0.00  LON:   0.00 REC:   0 SAM:   0
!
!   ID     TREAT  IC CD    J    CDECL CINCL  GDECL GINCL  BDCEL BINCL  SUSC  V/M
!_______________________________________________________________________________
I1531-7D   100.2  Cm  0 36.4481 303.9 -71.6   41.6 -52.7   41.6 -52.7    0    .0
I527-1C    100.2  Cm  1 71.4410 164.9 -36.4  130.7   9.4  130.7   9.4    0    .0
I527-4C    100.2  Cm  1 114.769 152.5  -5.1  128.3   7.3  128.3   7.3    0    .0
I527-6C    100.2  Cm  1 154.303 160.1 -41.8  111.2   6.2  111.2   6.2    0    .0
I527-7B    100.2  Cm  0 128.976 184.4 -53.1  127.7   8.8  127.7   8.8    0    .0
I527-8C    100.2  Cm  1 86.5251 121.3  48.2  229.2  52.9  229.2  52.9    0    .0
I527-9C    100.2  Cm  1 95.2347 164.2  19.1  232.2  50.3  232.2  50.3    0    .0
I527-10C   100.2  Cm  1 72.6002  61.6  28.9  185.1  24.8  185.1  24.8    0    .0
I531-4B    100.2  Cm  1 177.281   9.4 -10.6   36.5 -42.0   36.5 -42.0    0    .0
I531-5C    100.2  Cm  1 104.143 243.2 -44.4   30.2 -33.8   30.2 -33.8    0    .0
I531-6B    100.2  Cm  1 221.871 168.3 -43.9   37.3 -38.0   37.3 -38.0    0    .0
I92-2B     200.1  Cm  1 35.4562 196.7 -19.8   15.7  36.7   15.7  36.7    0    .0
I92-5B     200.1  Cm  1 12.2118 246.5  60.9  354.7  55.2  354.7  55.2    0    .0
I914-8B    200.1  Cm  1 11.7729 318.7 -43.3   92.3 -59.9   92.3 -59.9    0    .0
I1510-6B   200.1  Cm  0 23.5745 345.7 -58.8  345.7 -72.8  345.7 -72.8    0    .0
I1512-2C   200.1  Cm  1  8.5346 350.4 -14.0    8.1 -30.8    8.1 -30.8    0    .0
I1512-3B   200.1  Cm  1 19.6259 357.8 -29.6   35.9 -51.5   35.9 -51.5    0    .0
I1530-3C   200.1  Cm  1 17.7005 307.8 -22.8  293.4 -41.7  293.4 -41.7    0    .0
I1531-7D   200.1  Cm  0 36.9552 300.8 -72.7   40.2 -51.5   40.2 -51.5    0    .0
I527-1C    200.1  Cm  1 70.7357 163.2 -37.0  129.5   8.5  129.5   8.5    0    .0
I527-4C    200.1  Cm  1 114.661 152.4  -5.2  128.3   7.2  128.3   7.2    0    .0
I527-6C    200.1  Cm  1 155.248 161.1 -40.9  111.7   7.3  111.7   7.3    0    .0
I527-7B    200.1  Cm  1 131.504 181.9 -51.9  126.2  10.1  126.2  10.1    0    .0
I527-8C    200.1  Cm  1 85.4812 116.2  47.4  224.1  51.2  224.1  51.2    0    .0
I527-9C    200.1  Cm  1 93.3136 164.1  20.6  231.5  51.8  231.5  51.8    0    .0
I527-10C   200.1  Cm  1 72.1588  60.8  27.6  184.5  23.5  184.5  23.5    0    .0
I531-4B    200.1  Cm  1 175.923  10.8 -12.3   38.6 -43.6   38.6 -43.6    0    .0
I531-5C    200.1  Cm  1 105.682 243.8 -46.7   29.6 -36.1   29.6 -36.1    0    .0
I531-6B    200.1  Cm  1 221.506 164.7 -44.8   34.1 -39.0   34.1 -39.0    0    .0
I92-2B     250.1  Cm  1 37.3604 195.7 -39.7    8.6  17.8    8.6  17.8    0    .0
I92-5B     250.1  Cm  1  5.9481 252.2 -19.2  290.6  -5.5  290.6  -5.5    0    .0
I914-8B    250.1  Cm  1 18.2453 320.1 -62.3   54.4 -59.0   54.4 -59.0    0    .0
I1510-6B   250.1  Cm  0 28.9256 351.3 -60.9  334.0 -72.3  334.0 -72.3    0    .0
I1512-2C   250.1  Cm  1  9.5811   0.9 -33.3   20.2 -50.3   20.2 -50.3    0    .0
I1512-3B   250.1  Cm  1 25.1544   2.0 -41.9   42.3 -63.9   42.3 -63.9    0    .0
I1530-3C   250.1  Cm  1 18.0280 312.5 -24.1  296.3 -45.7  296.3 -45.7    0    .0
I1531-7D   250.1  Cm  1 39.0179 313.5 -74.9   34.8 -54.1   34.8 -54.1    0    .0
I527-1C    250.1  Cm  1 73.4892 160.9 -37.7  127.8   7.4  127.8   7.4    0    .0
I527-4C    250.1  Cm  1 117.961 154.2 -10.7  130.7   2.0  130.7   2.0    0    .0
I527-6C    250.1  Cm  1 157.859 158.7 -43.4  110.6   4.4  110.6   4.4    0    .0
I527-7B    250.1  Cm  1 136.575 178.3 -56.8  124.1   5.2  124.1   5.2    0    .0
I527-8C    250.1  Cm  1 71.3531 110.9  41.4  221.0  44.5  221.0  44.5    0    .0
I527-9C    250.1  Cm  1 76.1061 161.7  12.1  231.2  42.9  231.2  42.9    0    .0
I527-10C   250.1  Cm  1 67.4449  52.5  12.2  178.4   7.3  178.4   7.3    0    .0
I531-4B    250.1  Cm  1 163.193   9.5 -13.9   37.1 -45.3   37.1 -45.3    0    .0
I531-5C    250.1  Cm  1 98.5625 244.0 -48.4   29.0 -37.8   29.0 -37.8    0    .0
I531-6B    250.1  Cm  1 204.599 161.1 -48.2   31.0 -42.5   31.0 -42.5    0    .0
I92-2B     250.0  Cm  1 28.5439 196.1 -16.9   16.2  39.7   16.2  39.7    0    .0
I92-5B     250.0  Cm  1  9.2374 245.5  56.8  347.7  54.1  347.7  54.1    0    .0
I914-8B    250.0  Cm  1 19.8203 317.8 -64.6   51.1 -57.2   51.1 -57.2    0    .0
I1510-6B   250.0  Cm  1 17.9594 354.4 -50.7  347.8 -82.3  347.8 -82.3    0    .0
I1512-2C   250.0  Cm  1  7.8442 358.2  -6.6   17.1 -23.6   17.1 -23.6    0    .0
I1512-3B   250.0  Cm  1 16.8773   6.2 -18.9   46.8 -40.8   46.8 -40.8    0    .0
I1530-3C   250.0  Cm  1 14.9071 308.1 -10.8  303.8 -33.0  303.8 -33.0    0    .0
I1531-7D   250.0  Cm  0 32.3305 308.4 -73.1   38.5 -53.5   38.5 -53.5    0    .0
I527-1C    250.0  Cm  1 71.6082 163.3 -35.3  129.2  10.2  129.2  10.2    0    .0
I527-4C    250.0  Cm  1 118.578 152.4  -4.7  128.3   7.7  128.3   7.7    0    .0
I527-6C    250.0  Cm  1 151.791 161.6 -39.4  111.8   8.8  111.8   8.8    0    .0
I527-7B    250.0  Cm  1 126.047 180.1 -50.9  125.1  11.1  125.1  11.1    0    .0
I527-8C    250.0  Cm  1 83.8834 113.0  48.5  220.3  51.7  220.3  51.7    0    .0
I527-9C    250.0  Cm  1 82.5177 159.6  21.2  224.8  51.2  224.8  51.2    0    .0
I527-10C   250.0  Cm  1 72.2743  51.2  30.4  175.0  25.2  175.0  25.2    0    .0
I531-4B    250.0  Cm  1 158.772   5.4 -12.5   31.4 -44.4   31.4 -44.4    0    .0
I531-5C    250.0  Cm  1 94.0936 239.4 -47.6   25.7 -35.9   25.7 -35.9    0    .0
I531-6B    250.0  Cm  1 196.643 159.1 -46.1   29.0 -40.4   29.0 -40.4    0    .0
I92-2B     300.0  Cm  1 17.7729 195.7  -8.0   19.6  48.2   19.6  48.2    0    .0
I92-5B     300.0  Cm  1  7.0435 265.9  67.8   10.2  49.9   10.2  49.9    0    .0
I914-8B    300.0  Cm  1 29.8083 318.8 -73.1   37.7 -53.4   37.7 -53.4    0    .0
I1510-6B   300.0  Cm  1 14.0762 354.5 -35.2  112.5 -80.3  112.5 -80.3    0    .0
I1512-2C   300.0  Cm  1  7.5918   3.5   9.4   22.4  -7.6   22.4  -7.6    0    .0
I1512-3B   300.0  Cm  1 16.5971   9.6  -3.7   49.6 -25.4   49.6 -25.4    0    .0
I1530-3C   300.0  Cm  1 13.9185 307.4  -7.8  305.4 -30.2  305.4 -30.2    0    .0
I1531-7D   300.0  Cm  0 28.4602 315.2 -72.5   38.1 -55.6   38.1 -55.6    0    .0
I527-1C    300.0  Cm  1 69.7183 167.3 -31.2  131.8  14.9  131.8  14.9    0    .0
I527-4C    300.0  Cm  1 118.540 153.0  -3.1  128.7   9.3  128.7   9.3    0    .0
I527-4C    300.0  Cm  1 118.540 153.0  -3.1  128.7   9.3  128.7   9.3    0    .0
I527-6C    300.0  Cm  1 148.789 163.0 -39.1  112.7   9.4  112.7   9.4    0    .0
